SQL> start /home/bquant/COEN178/labs/lab5/queries1.sql
Phadke                    advisor                  130000                       
Pulliam                   assistant                600000                       
Smoot                     janitor                 1000000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Stoev                     assistant                600000                       
Summers                   director                 100000                       
Teehee                    director                 100000                       
Tennison                  supervisor               800000                       
Tucker                    supervisor               800000                       
Anderson                  director                 100000                       
Beinart                   supervisor               800000                       
Blake                     janitor                 1000000                       
Coven                     advisor                  130000                       
Cunningham                director                 100000                       
Fenn                      supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Fiscus                    director                 100000                       
Ford                      janitor                 1000000                       
Gray                      assistant                600000                       
Harris                    manager                  500000                       
Jackson                   manager                  500000                       
Jarrett                   advisor                  130000                       
Jean-Pierre               supervisor               800000                       
Kalbaugh                  manager                  500000                       
Kelly                     director                 100000                       
Watkins                   director                 100000                       
Young                     janitor                 1000000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Zelman                    director                 100000                       
McBride                   manager                  500000                       
Monteiro                  director                 100000                       
Nathan                    supervisor               800000                       
Ocampo                    janitor                 1000000                       
Olmos                     manager                  500000                       
Pourmorad                 manager                  500000                       
Robertson                 assistant                600000                       
Rosalsky                  janitor                 1000000                       
Sanders                   director                 100000                       
Shah                      supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Sheehy                    manager                  500000                       
Swire                     manager                  500000                       
Thorbjornsen              assistant                600000                       
Tucci                     director                 100000                       
Bassin                    supervisor               800000                       
Burman                    assistant                600000                       
Douglas                   janitor                 1000000                       
DuBois                    supervisor               800000                       
Earnest                   manager                  500000                       
Garcia                    manager                  500000                       
Hornsby                   advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Hurley                    advisor                  130000                       
Kim                       assistant                600000                       
Kramer                    assistant                600000                       
Leger                     supervisor               800000                       
Lorjuste                  assistant                600000                       
Witt                      janitor                 1000000                       
McCathran                 janitor                 1000000                       
Millison                  director                 100000                       
Moilanen                  advisor                  130000                       
Nelson                    manager                  500000                       
Rathod                    assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Santucci                  manager                  500000                       
Schaub                    advisor                  130000                       
Verrilli                  director                 100000                       
Abrams                    assistant                600000                       
Axelrod                   assistant                600000                       
Burton                    manager                  500000                       
Camu??ez                  supervisor               800000                       
Castillo                  director                 100000                       
Conrad                    janitor                 1000000                       
DeParle                   supervisor               800000                       
Droege                    assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Flatgard                  manager                  500000                       
Freeman                   director                 100000                       
Goodman                   assistant                600000                       
Jarvis                    janitor                 1000000                       
Kocher                    manager                  500000                       
Lechtenberg               supervisor               800000                       
Lesser                    assistant                600000                       
Walsh                     director                 100000                       
Winter                    director                 100000                       
Mack                      director                 100000                       
Mayekar                   assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
McLaughlin                manager                  500000                       
Nguyen                    assistant                600000                       
Perez                     manager                  500000                       
Roddick                   manager                  500000                       
Setser                    janitor                 1000000                       
Stracko                   supervisor               800000                       
Utech                     manager                  500000                       
Vale                      janitor                 1000000                       
Amorsingh                 assistant                600000                       
Baggetto                  supervisor               800000                       
Block                     supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Bookey-Baker              supervisor               800000                       
Burnough                  supervisor               800000                       
Canery                    janitor                 1000000                       
Cushman                   manager                  500000                       
Finkenbinder              manager                  500000                       
Furman                    manager                  500000                       
Gottlieb                  janitor                 1000000                       
Higginbottom              manager                  500000                       
Johnston                  janitor                 1000000                       
Kang                      director                 100000                       
Kiley                     director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Lehrich                   assistant                600000                       
Weiser                    assistant                600000                       
Williams                  janitor                 1000000                       
Wong                      supervisor               800000                       
Sibley                    supervisor               800000                       
Gillette                  advisor                  130000                       
Sinha                     director                 100000                       
Jung                      assistant                600000                       
Sobel                     assistant                600000                       
Rouse                     director                 100000                       
Devine                    supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
DeRosa                    advisor                  130000                       
White                     manager                  500000                       
Mackey                    advisor                  130000                       
McGinnis                  advisor                  130000                       
Mueller                   director                 100000                       
Onek                      manager                  500000                       
Parker                    director                 100000                       
Quinn                     supervisor               800000                       
Ryan                      supervisor               800000                       
Sahgal                    manager                  500000                       
Schwartz                  director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Singiser                  manager                  500000                       
Tamarin                   supervisor               800000                       
Turton                    janitor                 1000000                       
Bauer                     assistant                600000                       
Bhowmik                   assistant                600000                       
Buffett                   manager                  500000                       
Cizner                    assistant                600000                       
Colvin                    director                 100000                       
Cutter                    assistant                600000                       
Dillon                    manager                  500000                       
Dorsett                   manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Frank                     manager                  500000                       
Frye                      director                 100000                       
Graham                    assistant                600000                       
Hoang                     supervisor               800000                       
Johnson                   director                 100000                       
Voorman                   director                 100000                       
Wright                    advisor                  130000                       
Massey                    director                 100000                       
McDonough                 director                 100000                       
Mu??oz                    supervisor               800000                       
Odio                      manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Pope                      supervisor               800000                       
Sutphen                   janitor                 1000000                       
Asen                      advisor                  130000                       
Browner                   director                 100000                       
Brush                     supervisor               800000                       
Chen                      assistant                600000                       
Chiodo                    supervisor               800000                       
Davies                    director                 100000                       
Edmonds                   director                 100000                       
Espinel                   manager                  500000                       
Gardaphe                  janitor                 1000000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Gomez                     assistant                600000                       
Grant                     supervisor               800000                       
Harper                    assistant                600000                       
Hurwitz                   director                 100000                       
Kimball                   advisor                  130000                       
Kravis                    assistant                600000                       
Lewin                     manager                  500000                       
Lippert                   director                 100000                       
Naidoff                   advisor                  130000                       
Oxtoby                    supervisor               800000                       
Posey                     janitor                 1000000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Rittner                   assistant                600000                       
Ruemmler                  assistant                600000                       
Simas                     director                 100000                       
Spencer                   director                 100000                       
Tranchin                  director                 100000                       
Valencia                  manager                  500000                       
Becnel                    assistant                600000                       
Birdsall                  manager                  500000                       
Branch                    assistant                600000                       
Brown                     assistant                600000                       
Carter                    director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Cohen                     manager                  500000                       
Dunn                      janitor                 1000000                       
Emanuel                   manager                  500000                       
Greene                    supervisor               800000                       
Hernandez                 director                 100000                       
Hogan                     supervisor               800000                       
Krass                     manager                  500000                       
Leitner-Laserna           janitor                 1000000                       
Liegel                    assistant                600000                       
Love                      advisor                  130000                       
McGrath                   assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Mrazek                    janitor                 1000000                       
Paige                     assistant                600000                       
Pfeiffer                  assistant                600000                       
Schuker                   director                 100000                       
Stickel                   supervisor               800000                       
Stone                     assistant                600000                       
Sweeney                   advisor                  130000                       
Terrell                   janitor                 1000000                       
Albino                    director                 100000                       
Baldassaro                director                 100000                       
Chambers                  janitor                 1000000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Cuba                      janitor                 1000000                       
DeGuzman                  director                 100000                       
Finlen                    director                 100000                       
Fitts                     supervisor               800000                       
Gage                      director                 100000                       
Hanson                    advisor                  130000                       
Hash                      advisor                  130000                       
Jabbour                   manager                  500000                       
Jarvis-Shean              assistant                600000                       
Kale                      director                 100000                       
Levine                    supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Webster                   janitor                 1000000                       
Markovitz                 manager                  500000                       
McNeal                    manager                  500000                       
Neiman                    advisor                  130000                       
Offerman                  manager                  500000                       
Olson                     assistant                600000                       
Pate                      director                 100000                       
Rivadeneira               director                 100000                       
Sabochik                  assistant                600000                       
Schiliro                  supervisor               800000                       
Strautmanis               assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Tubman                    supervisor               800000                       
Vietor                    manager                  500000                       
Bressler                  janitor                 1000000                       
Carden                    manager                  500000                       
Dyer                      director                 100000                       
Firestone                 manager                  500000                       
Hennigan                  manager                  500000                       
Jamison                   janitor                 1000000                       
King                      assistant                600000                       
Lee                       assistant                600000                       
Lepow                     assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Wang-Levine               supervisor               800000                       
Mehrbani                  supervisor               800000                       
Nabors                    supervisor               800000                       
Northern                  supervisor               800000                       
Reeves                    director                 100000                       
Saunders                  assistant                600000                       
Tate-Gilmore              janitor                 1000000                       
Attili                    director                 100000                       
Bernard                   assistant                600000                       
Campoverdi                janitor                 1000000                       
Chhabra                   janitor                 1000000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Cusack                    manager                  500000                       

419 rows selected.


Function created.

No errors.

CALCSALARYRAISE('STONE',2)                                                      
--------------------------                                                      
                     13000                                                      


NAME                      TITLE                CURRENTSALARY  NEWSALARY         
------------------------- -------------------- ------------- ----------         
Stone                     assistant                   600000      13000         


Table created.


Function created.

No errors.

COUNTBYTITLE('DIRECTOR')                                                        
------------------------                                                        
                      88                                                        


COUNTBYTITLE('ADVISOR')                                                         
-----------------------                                                         
                     38                                                         


Procedure created.

No errors.

PL/SQL procedure successfully completed.


TITLE                  EMPCOUNT LASTMODIF                                       
-------------------- ---------- ---------                                       
advisor                      38 04-MAY-20                                       
director                     88 04-MAY-20                                       
assistant                    78 04-MAY-20                                       
manager                      91 04-MAY-20                                       
supervisor                   72 04-MAY-20                                       
janitor                      52 04-MAY-20                                       

6 rows selected.

SQL> spool off
